2011/06/25	70.1,0.01G
2011/06/26	72.9,0.00G
2011/06/27	73.4,0.00G
2011/06/28	76.5,0.00G
2011/06/29	75.6,0.10G
2011/06/30	73.7,0.00I
2011/07/01	73.8,0.00G
2011/07/02	76.2,0.00G
2011/07/03	72.4,0.00G
2011/07/04	76.2,0.84G
2011/07/05	78.9,0.00G
2011/07/06	80.2,0.00G
2011/07/07	80.4,0.00G
2011/07/08	77.3,0.00G
2011/07/09	75.5,0.40G
2011/07/10	77.5,0.00G
2011/07/11	80.7,0.00G
2011/07/12	84.7,0.00G
2011/07/13	81.2,0.00G
2011/07/14	72.7,0.11G
2011/07/15	74.7,0.00G
2011/07/16	78.3,0.00G
2011/07/17	80.7,0.00G
2011/07/18	83.3,0.00G
2011/07/19	81.9,0.11G
2011/07/20	81.2,0.00G
2011/07/21	83.5,0.00G
2011/07/22	92.6,0.00G
2011/07/23	90.3,0.00G
2011/07/24	86.1,0.00G
2011/07/25	76.0,0.03G
2011/07/26	77.0,0.32G
2011/07/27	75.8,0.14G
2011/07/28	78.4,0.00G
2011/07/29	77.6,0.67G
2011/07/30	80.5,0.41G
2011/07/31	80.8,0.00G
2011/08/01	80.3,0.02G
2011/08/02	80.9,0.00I
2011/08/03	77.7,0.00G
2011/08/04	73.2,0.76G
2011/08/05	76.3,0.00G
2011/08/06	76.0,0.00G
2011/08/07	78.4,0.34G
2011/08/08	80.3,0.01G
2011/08/09	75.9,0.00G
2011/08/10	76.3,2.09G
2011/08/11	76.1,0.00G
2011/08/12	74.0,0.00G
2011/08/13	76.2,0.00G
2011/08/14	70.2,3.20G
2011/08/15	71.0,2.61G
2011/08/16	69.8,0.58G
2011/08/17	75.5,0.02G
2011/08/18	75.0,0.01G
2011/08/19	75.2,0.06G
2011/08/20	71.7,1.24G
2011/08/21	76.2,0.00G
2011/08/22	71.6,0.67G
2011/08/23	70.2,0.00G
2011/08/24	72.4,0.00G
2011/08/25	73.9,0.00G
2011/08/26	75.2,0.49G
2011/08/27	74.7,0.00G
2011/08/28	71.9,6.31G
2011/08/29	67.9,0.56G
2011/08/30	70.5,0.00G
2011/08/31	73.3,0.00G
2011/09/01	73.5,0.00G
2011/09/02	69.9,0.00G
2011/09/03	72.6,0.00G
2011/09/04	77.3,0.00G
2011/09/05	75.7,0.00G
2011/09/06	64.6,0.38G
2011/09/07	63.8,3.05G
2011/09/08	68.9,1.90G
2011/09/09	73.7,0.90G
2011/09/10	74.1,0.00G
2011/09/11	67.7,0.00G
2011/09/12	71.2,0.01G
2011/09/13	74.8,0.00G
2011/09/14	76.1,0.00G
2011/09/15	70.7,0.00G
2011/09/16	57.1,0.07G
2011/09/17	58.4,0.00G
2011/09/18	59.2,0.00G
2011/09/19	59.5,0.00G
2011/09/20	63.1,0.00G
2011/09/21	67.6,0.06G
2011/09/22	70.9,0.08G
2011/09/23	71.1,0.02G
2011/09/24	72.1,2.61G
2011/09/25	73.5,0.00G
2011/09/26	73.3,0.00G
2011/09/27	72.3,0.00G
2011/09/28	70.7,0.02G
2011/09/29	69.6,0.16G
2011/09/30	66.7,0.33G
2011/10/01	59.8,0.87G
