01/01/2011	594
01/02/2011	318
01/03/2011	277
01/04/2011	400
01/05/2011	460
01/06/2011	445
01/07/2011	446
01/08/2011	400
01/09/2011	310
01/10/2011	360
01/11/2011	360
01/12/2011	298
01/13/2011	400
01/14/2011	413
01/15/2011	456
01/16/2011	365
01/17/2011	318
01/18/2011	348
01/19/2011	477
01/20/2011	460
01/21/2011	424
01/22/2011	385
01/23/2011	319
01/24/2011	320
01/25/2011	414
01/26/2011	320
01/27/2011	258
01/28/2011	417
01/29/2011	433
01/30/2011	363
01/31/2011	308
02/01/2011	377
02/02/2011	343
02/03/2011	430
02/04/2011	491
02/05/2011	449
02/06/2011	369
02/07/2011	362
02/08/2011	366
02/09/2011	425
02/10/2011	429
02/11/2011	523
02/12/2011	493
02/13/2011	401
02/14/2011	374
02/15/2011	466
02/16/2011	487
02/17/2011	538
02/18/2011	591
02/19/2011	441
02/20/2011	380
02/21/2011	322
02/22/2011	401
02/23/2011	440
02/24/2011	438
02/25/2011	401
02/26/2011	556
02/27/2011	430
02/28/2011	364
03/01/2011	499
03/02/2011	499
03/03/2011	420
03/04/2011	539
03/05/2011	539
03/06/2011	360
03/07/2011	344
03/08/2011	467
03/09/2011	467
03/10/2011	401
03/11/2011	540
03/12/2011	583
03/13/2011	435
03/14/2011	383
03/15/2011	503
03/16/2011	483
03/17/2011	533
03/18/2011	577
03/19/2011	527
03/20/2011	434
03/21/2011	361
03/22/2011	464
03/23/2011	402
03/24/2011	448
03/25/2011	504
03/26/2011	405
03/27/2011	364
03/28/2011	372
03/29/2011	366
03/30/2011	435
03/31/2011	398
04/01/2011	484
04/02/2011	557
04/03/2011	425
04/04/2011	414
04/05/2011	415
04/06/2011	519
04/07/2011	509
04/08/2011	533
04/09/2011	572
04/10/2011	471
04/11/2011	444
04/12/2011	407
04/13/2011	439
04/14/2011	569
04/15/2011	557
04/16/2011	422
04/17/2011	425
04/18/2011	426
04/19/2011	432
04/20/2011	506
04/21/2011	502
04/22/2011	517
04/23/2011	460
04/24/2011	427
04/25/2011	416
04/26/2011	524
04/27/2011	512
04/28/2011	475
04/29/2011	561
04/30/2011	495
05/01/2011	473
05/02/2011	395
05/03/2011	556
05/04/2011	430
05/05/2011	499
05/06/2011	579
05/07/2011	485
05/08/2011	437
05/09/2011	451
05/10/2011	545
05/11/2011	576
05/12/2011	554
05/13/2011	591
05/14/2011	511
05/15/2011	426
05/16/2011	402
05/17/2011	467
05/18/2011	477
05/19/2011	556
05/20/2011	526
05/21/2011	580
05/22/2011	458
05/23/2011	429
05/24/2011	564
05/25/2011	543
05/26/2011	525
05/27/2011	602
05/28/2011	590
05/29/2011	475
05/30/2011	445
05/31/2011	483
06/01/2011	610
06/02/2011	503
06/03/2011	581
06/04/2011	595
06/05/2011	520
06/06/2011	442
06/07/2011	497
06/08/2011	522
06/09/2011	488
06/10/2011	509
06/11/2011	482
06/12/2011	507
06/13/2011	464
06/14/2011	510
06/15/2011	589
06/16/2011	577
06/17/2011	499
06/18/2011	577
06/19/2011	528
06/20/2011	474
06/21/2011	566
06/22/2011	575
06/23/2011	565
06/24/2011	550
06/25/2011	607
06/26/2011	555
06/27/2011	502
06/28/2011	565
06/29/2011	578
06/30/2011	524
07/01/2011	601
07/02/2011	605
07/03/2011	511
07/04/2011	584
07/05/2011	596
07/06/2011	525
07/07/2011	495
07/08/2011	561
07/09/2011	548
07/10/2011	532
07/11/2011	456
07/12/2011	634
07/13/2011	572
07/14/2011	601
07/15/2011	604
07/16/2011	605
07/17/2011	548
07/18/2011	476
07/19/2011	533
07/20/2011	548
07/21/2011	563
07/22/2011	570
07/23/2011	565
07/24/2011	587
07/25/2011	454
07/26/2011	553
07/27/2011	615
07/28/2011	573
07/29/2011	548
07/30/2011	575
07/31/2011	545
08/01/2011	489
08/02/2011	539
08/03/2011	487
08/04/2011	564
08/05/2011	591
08/06/2011	567
08/07/2011	544
08/08/2011	415
08/09/2011	485
08/10/2011	597
08/11/2011	634
08/12/2011	565
08/13/2011	579
08/14/2011	372
08/15/2011	460
08/16/2011	512
08/17/2011	539
08/18/2011	514
08/19/2011	577
08/20/2011	635
08/21/2011	535
08/22/2011	503
08/23/2011	535
08/24/2011	577
08/25/2011	518
08/26/2011	567
08/27/2011	377
08/28/2011	244
08/29/2011	463
08/30/2011	555
08/31/2011	492
09/01/2011	576
09/02/2011	554
09/03/2011	602
09/04/2011	522
09/05/2011	536
09/06/2011	319
09/07/2011	374
09/08/2011	519
09/09/2011	564
09/10/2011	549
09/11/2011	469
09/12/2011	435
09/13/2011	486
09/14/2011	561
09/15/2011	493
09/16/2011	525
09/17/2011	530
09/18/2011	496
09/19/2011	462
09/20/2011	457
09/21/2011	581
09/22/2011	542
09/23/2011	509
09/24/2011	568
09/25/2011	579
09/26/2011	494
09/27/2011	603
09/28/2011	560
09/29/2011	483
09/30/2011	498
10/01/2011	520
10/02/2011	446
10/03/2011	391
10/04/2011	501
10/05/2011	575
10/06/2011	483
10/07/2011	583
10/08/2011	583
10/09/2011	542
10/10/2011	489
10/11/2011	507
10/12/2011	496
10/13/2011	522
10/14/2011	483
10/15/2011	450
10/16/2011	479
10/17/2011	406
10/18/2011	494
10/19/2011	488
10/20/2011	555
10/21/2011	591
10/22/2011	523
10/23/2011	460
10/24/2011	423
10/25/2011	500
10/26/2011	570
10/27/2011	403
10/28/2011	537
10/29/2011	360
10/30/2011	378
10/31/2011	496
11/01/2011	585
11/02/2011	496
11/03/2011	491
11/04/2011	555
11/05/2011	499
11/06/2011	415
11/07/2011	451
11/08/2011	456
11/09/2011	503
11/10/2011	611
11/11/2011	530
11/12/2011	490
11/13/2011	434
11/14/2011	447
11/15/2011	481
11/16/2011	409
11/17/2011	474
11/18/2011	494
11/19/2011	523
11/20/2011	454
11/21/2011	451
11/22/2011	455
11/23/2011	467
11/24/2011	287
11/25/2011	511
11/26/2011	513
11/27/2011	489
11/28/2011	489
11/29/2011	445
11/30/2011	491
12/01/2011	524
12/02/2011	487
12/03/2011	468
12/04/2011	406
12/05/2011	396
12/06/2011	432
12/07/2011	400
12/08/2011	438
12/09/2011	491
12/10/2011	506
12/11/2011	372
12/12/2011	387
12/13/2011	433
12/14/2011	478
12/15/2011	503
12/16/2011	540
12/17/2011	452
12/18/2011	325
12/19/2011	367
12/20/2011	495
12/21/2011	468
12/22/2011	505
12/23/2011	435
12/24/2011	328
12/25/2011	282
12/26/2011	358
12/27/2011	397
12/28/2011	381
12/29/2011	420
12/30/2011	524
12/31/2011	433
